Country name,Year,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Happiness Change,5-Year Change
Afghanistan,2024,147,2.0213749999999986,1.427,1.301,0.649,0.19847044348716492,0.155,0.0,0.075,0.135,0.348,0.0,-0.5455250148773212
Albania,2024,89,5.411,5.539,5.284,1.371,1.122,0.696,0.841,0.103,0.057,1.22,0.10699999999999932,0.52830003356934
Algeria,2024,84,5.571,5.674,5.469,1.315,1.363,0.782,0.522,0.057,0.219,1.313,0.20699999999999985,0.56590022659302
Angola,2017,142,3.795,,,,,,,,,,0.0,-0.383
Argentina,2024,42,6.397,6.492,6.302,1.504,1.622,0.579,0.824,0.048,0.083,1.736,0.20900000000000052,0.42230002593993987
Armenia,2024,87,5.494,5.596,5.391,1.391,1.349,0.828,0.786,0.032,0.158,0.95,0.0389999999999997,0.8172002258300797
Australia,2024,11,6.974,7.057,6.89,1.767,1.647,0.841,0.857,0.164,0.285,1.413,-0.08300000000000018,-0.24879977798461983
Austria,2024,17,6.81,6.891,6.728,1.791,1.592,0.814,0.856,0.179,0.28,1.297,-0.09500000000000064,-0.48419994354247997
Azerbaijan,2024,106,4.875,4.969,4.78,1.428,1.03,0.707,0.785,0.076,0.179,0.67,-0.017999999999999794,-0.3330000000000002
Bahrain,2024,59,6.03,6.17,5.891,1.752,1.391,0.609,0.907,0.148,0.167,1.057,0.07100000000000062,-0.19730016708373999
Bangladesh,2024,134,3.851,3.949,3.753,1.116,0.286,0.592,0.92,0.11,0.132,0.695,-0.03500000000000014,-0.9817999114990199
Belarus,2021,65,5.821,5.95,5.693,1.562,1.157,0.629,0.342,0.04,0.282,1.811,0.2869999999999999,0.2519999999999998
Belgium,2024,14,6.91,6.974,6.845,1.783,1.646,0.852,0.895,0.119,0.306,1.309,0.016000000000000014,0.04649988174438047
